"Order","Class","Domain","Variable","Label","Type","ControlledTerms","Role","Core"
"14","Interventions","PR","PROCCUR","Occurrence","Char","(NY)","Record Qualifier","Perm"
"15","Interventions","PR","PRINDC","Indication","Char","","Record Qualifier","Perm"
"16","Interventions","PR","PRDOSE","Dose","Num","","Record Qualifier","Perm"
"17","Interventions","PR","PRDOSTXT","Dose Description","Char","","Record Qualifier","Perm"
"18","Interventions","PR","PRDOSU","Dose Units","Char","(UNIT)","Variable Qualifier","Perm"
"19","Interventions","PR","PRDOSFRM","Dose Form","Char","(FRM)","Variable Qualifier","Perm"
"20","Interventions","PR","PRDOSFRQ","Dosing Frequency per Interval","Char","(FRQ)","Variable Qualifier","Perm"
"21","Interventions","PR","PRDOSRGM","Intended Dose Regimen","Char","","Variable Qualifier","Perm"
"22","Interventions","PR","PRROUTE","Route of Administration","Char","(ROUTE)","Variable Qualifier","Perm"
"23","Interventions","PR","PRLOC","Location of Procedure","Char","(LOC)","Record Qualifier","Perm"
"24","Interventions","PR","PRLAT","Laterality","Char","(LAT)","Variable Qualifier","Perm"
"25","Interventions","PR","PRDIR","Directionality","Char","(DIR)","Variable Qualifier","Perm"
"26","Interventions","PR","PRPORTOT","Portion or Totality","Char","(PORTOT)","Variable Qualifier","Perm"
"27","Interventions","PR","VISITNUM","Visit Number","Num","","Timing","Perm"
"28","Interventions","PR","VISIT","Visit Name","Char","","Timing","Perm"
"29","Interventions","PR","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"30","Interventions","PR","PRSTDTC","Start Date/Time of Procedure","Char","ISO 8601","Timing","Exp"
"31","Interventions","PR","PRENDTC","End Date/Time of Procedure","Char","ISO 8601","Timing","Perm"
"32","Interventions","PR","PRSTDY","Study Day of Start of Procedure","Num","","Timing","Perm"
"33","Interventions","PR","PRENDY","Study Day of End of Procedure","Num","","Timing","Perm"
"34","Interventions","PR","PRDUR","Duration of Procedure","Char","ISO 8601","Timing","Perm"
"35","Interventions","PR","PRTPT","Planned Time Point Name","Char","","Timing","Perm"
"36","Interventions","PR","PRTPTNUM","Planned Time Point Number","Num","","Timing","Perm"
"37","Interventions","PR","PRELTM","Planned Elapsed Time from Time Point Ref","Char","ISO 8601","Timing","Perm"
"38","Interventions","PR","PRTPTREF","Time Point Reference ","Char","","Timing","Perm"
"39","Interventions","PR","PRRFTDTC","Date/Time of Reference Time Point","Char","ISO 8601","Timing","Perm"
"40","Interventions","PR","PRSTRTPT","Start Relative to Reference Time Point","Char","(STRTPT)","Timing","Perm"
"41","Interventions","PR","PRSTTPT","Start Reference Time Point","Char","","Timing","Perm"
"42","Interventions","PR","PRENRTPT","End Relative to Reference Time Point","Char","(ENRTPT)","Timing","Perm"
"43","Interventions","PR","PRENTPT","End Reference Time Point","Char","","Timing","Perm"
"1","Interventions","SU","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Interventions","SU","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Interventions","SU","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Interventions","SU","SUSEQ","Sequence Number","Num","","Identifier","Req"
"5","Interventions","SU","SUGRPID","Group ID","Char","","Identifier","Perm"
"6","Interventions","SU","SUSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"7","Interventions","SU","SUTRT","Reported Name of Substance","Char","","Topic","Req"
"8","Interventions","SU","SUMODIFY","Modified Substance Name","Char","","Synonym Qualifier","Perm"
"9","Interventions","SU","SUDECOD","Standardized Substance Name","Char","","Synonym Qualifier","Perm"
"10","Interventions","SU","SUCAT","Category for Substance Use","Char","","Grouping Qualifier","Perm"
"11","Interventions","SU","SUSCAT","Subcategory for Substance Use ","Char","","Grouping Qualifier","Perm"
"12","Interventions","SU","SUPRESP","SU Pre-Specified","Char","(NY)","Variable Qualifier","Perm"
"13","Interventions","SU","SUOCCUR","SU Occurrence","Char","(NY)","Record Qualifier","Perm"
"14","Interventions","SU","SUSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"15","Interventions","SU","SUREASND","Reason Substance Use Not Collected","Char","","Record Qualifier","Perm"
"16","Interventions","SU","SUCLAS","Substance Use Class","Char","","Variable Qualifier","Perm"
"17","Interventions","SU","SUCLASCD","Substance Use Class Code","Char","","Variable Qualifier","Perm"
"18","Interventions","SU","SUDOSE","Substance Use Consumption","Num","","Record Qualifier","Perm"
"19","Interventions","SU","SUDOSTXT","Substance Use Consumption Text","Char","","Record Qualifier","Perm"
"20","Interventions","SU","SUDOSU","Consumption Units","Char","(UNIT)","Variable Qualifier","Perm"
"21","Interventions","SU","SUDOSFRM","Dose Form","Char","","Variable Qualifier","Perm"
"22","Interventions","SU","SUDOSFRQ","Use Frequency Per Interval","Char","(FREQ)","Variable Qualifier","Perm"
"23","Interventions","SU","SUDOSTOT","Total Daily Consumption ","Num","","Record Qualifier","Perm"
"24","Interventions","SU","SUROUTE","Route of Administration","Char","(ROUTE)","Variable Qualifier","Perm"
"25","Interventions","SU","SUSTDTC","Start Date/Time of Substance Use","Char","ISO 8601","Timing","Perm"
"26","Interventions","SU","SUENDTC","End Date/Time of Substance Use","Char","ISO 8601","Timing","Perm"
"27","Interventions","SU","SUSTDY","Study Day of Start of Substance Use","Num","","Timing","Perm"
"28","Interventions","SU","SUENDY","Study Day of End of Substance Use","Num","","Timing","Perm"
"29","Interventions","SU","SUDUR","Duration of Substance Use","Char","ISO 8601","Timing","Perm"
"30","Interventions","SU","SUSTRF","Start Relative to Reference Period","Char","(STENRF)","Timing","Perm"
"31","Interventions","SU","SUENRF","End Relative to Reference Period","Char","(STENRF)","Timing","Perm"
"32","Interventions","SU","SUSTRTPT","Start Relative to Reference Time Point","Char","(STENRF)","Timing","Perm"
"33","Interventions","SU","SUSTTPT","Start Reference Time Point","Char","","Timing","Perm"
"34","Interventions","SU","SUENRTPT","End Relative to Reference Time Point","Char","(STENRF)","Timing","Perm"
"35","Interventions","SU","SUENTPT","End Reference Time Point","Char","","Timing","Perm"
"1","Relationship","RELREC","STUDYID","Study Identifier","Char","","","Req"
"2","Relationship","RELREC","RDOMAIN","Related Domain Abbreviation","Char","(DOMAIN)","","Req"
"3","Relationship","RELREC","USUBJID","Unique Subject Identifier","Char","","","Exp"
"4","Relationship","RELREC","IDVAR","Identifying Variable","Char","","","Req"
"5","Relationship","RELREC","IDVARVAL","Identifying Variable Value","Char","","","Exp"
"6","Relationship","RELREC","RELTYPE","Relationship Type","Char","(RELTYPE)","","Exp"
"7","Relationship","RELREC","RELID","Relationship Identifier","Char","","","Req"
"1","Relationship","SUPPQUAL","STUDYID","Study Identifier","Char","","","Req"
"2","Relationship","SUPPQUAL","RDOMAIN","Related Domain Abbreviation","Char","(DOMAIN)","","Req"
"3","Relationship","SUPPQUAL","USUBJID","Unique Subject Identifier","Char","","","Req"
"4","Relationship","SUPPQUAL","IDVAR","Identifying Variable","Char","","","Exp"
"5","Relationship","SUPPQUAL","IDVARVAL","Identifying Variable Value","Char","","","Exp"
"6","Relationship","SUPPQUAL","QNAM","Qualifier Variable Name","Char","","","Req"
"7","Relationship","SUPPQUAL","QLABEL","Qualifier Variable Label","Char","","","Req"
"8","Relationship","SUPPQUAL","QVAL","Data Value","Char","","","Req"
"9","Relationship","SUPPQUAL","QORIG","Origin","Char","","","Req"
"10","Relationship","SUPPQUAL","QEVAL","Evaluator","Char","","","Exp"
"1","Special-Purpose","CO","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Special-Purpose","CO","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Special-Purpose","CO","RDOMAIN","Related Domain Abbreviation","Char","","Record Qualifier","Perm"
"4","Special-Purpose","CO","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"5","Special-Purpose","CO","COSEQ","Sequence Number","Num","","Identifier","Req"
"6","Special-Purpose","CO","IDVAR","Identifying Variable ","Char","","Record Qualifier","Perm"
"7","Special-Purpose","CO","IDVARVAL","Identifying Variable Value","Char","","Record Qualifier","Perm"
"8","Special-Purpose","CO","COREF","Comment Reference","Char","","Record Qualifier","Perm"
"9","Special-Purpose","CO","COVAL","Comment","Char","","Topic ","Req"
"10","Special-Purpose","CO","COEVAL","Evaluator","Char","","Record Qualifier","Perm"
"11","Special-Purpose","CO","CODTC","Date/Time of Comment ","Char","ISO 8601","Timing","Perm"
"1","Special-Purpose","DM","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Special-Purpose","DM","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Special-Purpose","DM","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Special-Purpose","DM","SUBJID","Subject Identifier for the Study","Char","","Topic","Req"
"5","Special-Purpose","DM","RFSTDTC","Subject Reference Start Date/Time","Char","ISO 8601","Record Qualifier","Exp"
"6","Special-Purpose","DM","RFENDTC","Subject Reference End Date/Time","Char","ISO 8601","Record Qualifier","Exp"
"7","Special-Purpose","DM","RFXSTDTC","Date/Time of First Study Treatment ","Char","ISO 8601","Record Qualifier","Exp"
"8","Special-Purpose","DM","RFXENDTC","Date/Time of Last Study Treatment ","Char","ISO 8601","Record Qualifier","Exp"
"9","Special-Purpose","DM","RFICDTC","Date/Time of Informed Consent","Char","ISO 8601","Record Qualifier","Exp"
"10","Special-Purpose","DM","RFPENDTC","Date/Time of End of Participation","Char","ISO 8601","Record Qualifier","Exp"
"11","Special-Purpose","DM","DTHDTC","Date/Time of Death","Char","ISO 8601","Record Qualifier","Exp"
"12","Special-Purpose","DM","DTHFL","Subject Death Flag","Char","(NY)","Record Qualifier","Exp"
"13","Special-Purpose","DM","SITEID","Study Site Identifier","Char","","Record Qualifier","Req"
"14","Special-Purpose","DM","INVID","Investigator Identifier","Char","","Record Qualifier","Perm"
"15","Special-Purpose","DM","INVNAM","Investigator Name","Char","","Synonym Qualifier","Perm"
"16","Special-Purpose","DM","BRTHDTC","Date/Time of Birth","Char","ISO 8601","Record Qualifier","Perm"
"17","Special-Purpose","DM","AGE","Age ","Num","","Record Qualifier","Exp"
"18","Special-Purpose","DM","AGEU","Age Units","Char","(AGEU)","Variable Qualifier ","Exp"
"19","Special-Purpose","DM","SEX","Sex","Char","(SEX)","Record Qualifier","Req"
"20","Special-Purpose","DM","RACE","Race","Char","(RACE)","Record Qualifier","Exp"
"21","Special-Purpose","DM","ETHNIC","Ethnicity","Char","(ETHNIC)","Record Qualifier","Perm"
"22","Special-Purpose","DM","ARMCD","Planned Arm Code","Char","","Record Qualifier","Req"
"23","Special-Purpose","DM","ARM","Description of Planned Arm","Char","","Synonym Qualifier","Req"
"24","Special-Purpose","DM","ACTARMCD","Actual Arm Code","Char","","Record Qualifier","Req"
"25","Special-Purpose","DM","ACTARM","Description of Actual Arm","Char","","Synonym Qualifier","Req"
"26","Special-Purpose","DM","COUNTRY","Country","Char","(COUNTRY)","Record Qualifier","Req "
"27","Special-Purpose","DM","DMDTC","Date/Time of Collection","Char","ISO 8601","Timing","Perm"
"28","Special-Purpose","DM","DMDY","Study Day of Collection","Num","","Timing","Perm"
"1","Special-Purpose","SE","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Special-Purpose","SE","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Special-Purpose","SE","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Special-Purpose","SE","SESEQ","Sequence Number","Num","","Identifier","Req"
"5","Special-Purpose","SE","ETCD","Element Code ","Char","","Topic","Req"
"6","Special-Purpose","SE","ELEMENT","Description of Element","Char","","Synonym Qualifier","Perm"
"7","Special-Purpose","SE","SESTDTC","Start Date/Time of Element","Char","ISO 8601","Timing","Req"
"8","Special-Purpose","SE","SEENDTC","End Date/Time of Element","Char","ISO 8601","Timing","Exp"
"9","Special-Purpose","SE","TAETORD","Planned Order of Element within Arm","Num","","Timing","Perm"
"10","Special-Purpose","SE","EPOCH","Epoch","Char","(EPOCH)","Timing","Perm"
"11","Special-Purpose","SE","SEUPDES","Description of Unplanned Element","Char","","Synonym Qualifier","Perm"
"1","Special-Purpose","SV","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Special-Purpose","SV","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Special-Purpose","SV","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Special-Purpose","SV","VISITNUM","Visit Number","Num","","Topic","Req"
"5","Special-Purpose","SV","VISIT","Visit Name","Char","","Synonym Qualifier","Perm"
"6","Special-Purpose","SV","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"7","Special-Purpose","SV","SVSTDTC","Start Date/Time of Visit","Char","ISO 8601","Timing","Exp"
"8","Special-Purpose","SV","SVENDTC","End Date/Time of Visit","Char","ISO 8601","Timing","Exp"
"9","Special-Purpose","SV","SVSTDY","Study Day of Start of Visit","Num","","Timing","Perm"
"10","Special-Purpose","SV","SVENDY","Study Day of End of Visit","Num","","Timing","Perm"
"11","Special-Purpose","SV","SVUPDES","Description of Unplanned Visit","Char","","Synonym Qualifier","Perm"
"1","Trial Design","TA","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Trial Design","TA","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Trial Design","TA","ARMCD","Planned Arm Code ","Char","","Topic","Req"
"4","Trial Design","TA","ARM","Description of Planned Arm ","Char","","Synonym Qualifier","Req"
"5","Trial Design","TA","TAETORD","Planned Order of Element within Arm","Num","","Timing ","Req"
"6","Trial Design","TA","ETCD","Element Code","Char","","Record Qualifier","Req"
"7","Trial Design","TA","ELEMENT","Description of Element","Char","","Synonym Qualifier","Perm"
"8","Trial Design","TA","TABRANCH","Branch","Char","","Rule","Exp"
"9","Trial Design","TA","TATRANS","Transition Rule","Char","","Rule","Exp"
"10","Trial Design","TA","EPOCH","Epoch","Char","(EPOCH)","Timing","Req"
"1","Trial Design","TD","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Trial Design","TD","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Trial Design","TD","TDORDER","Sequence of Planned Assessment Schedule","Num","","Timing","Req"
"4","Trial Design","TD","TDANCVAR","Anchor Variable Name","Char","","Timing","Req"
"5","Trial Design","TD","TDSTOFF","Offset from the Anchor","Char","ISO 8601","Timing","Req"
"6","Trial Design","TD","TDTGTPAI","Planned Assessment Interval","Char","ISO 8601","Timing","Req"
"7","Trial Design","TD","TDMINPAI","Planned Assessment Interval Minimum","Char","ISO 8601","Timing","Req"
"8","Trial Design","TD","TDMAXPAI","Planned Assessment Interval Maximum","Char","ISO 8601","Timing","Req"
"9","Trial Design","TD","TDNUMRPT","Maximum Number of Actual Assessments","Num","","Record Qualifier","Req"
"1","Trial Design","TE","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Trial Design","TE","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Trial Design","TE","ETCD","Element Code","Char","","Topic ","Req"
"4","Trial Design","TE","ELEMENT","Description of Element","Char","","Synonym Qualifier","Req"
"5","Trial Design","TE","TESTRL","Rule for Start of Element","Char","","Rule","Req"
"6","Trial Design","TE","TEENRL","Rule for End of Element","Char","","Rule","Perm"
"7","Trial Design","TE","TEDUR","Planned Duration of Element","Char","ISO 8601","Timing","Perm"
"1","Trial Design","TI","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Trial Design","TI","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Trial Design","TI","IETESTCD","Incl/Excl Criterion Short Name e","Char","","Topic","Req"
"4","Trial Design","TI","IETEST","Inclusion/Exclusion Criterion","Char","","Synonym Qualifier","Req"
"5","Trial Design","TI","IECAT","Inclusion/Exclusion Category","Char","(IECAT)","Grouping Qualifier","Req"
"6","Trial Design","TI","IESCAT","Inclusion/Exclusion Subcategory","Char","","Grouping Qualifier","Perm"
"7","Trial Design","TI","TIRL","Inclusion/Exclusion Criterion Rule","Char","","Rule","Perm"
"8","Trial Design","TI","TIVERS","Protocol Criteria Versions","Char","","Record Qualifier","Perm"
"1","Trial Design","TS","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Trial Design","TS","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Trial Design","TS","TSSEQ","Sequence Number","Num","","Identifier ","Req"
"4","Trial Design","TS","TSGRPID","Group ID","Char","","Identifier","Perm"
"5","Trial Design","TS","TSPARMCD","Trial Summary Parameter Short Name","Char","TSPARMCD","Topic","Req"
"6","Trial Design","TS","TSPARM","Trial Summary Parameter","Char","TSPARM","Synonym Qualifier","Req"
"7","Trial Design","TS","TSVAL","Parameter Value","Char","","Result Qualifier"," Exp"
"8","Trial Design","TS","TSVALNF","Parameter Null Flavor","Char","NULLFLAVOR","Result Qualifier","Perm"
"9","Trial Design","TS","TSVALCD","Parameter Value Code","Char","","Result Qualifier","Exp"
"10","Trial Design","TS","TSVCDREF","Name of the Reference Terminology","Char","","Result Qualifier","Exp"
"11","Trial Design","TS","TSVCDVER","Version of the Reference Terminology","Char","","Result Qualifier","Exp"
"1","Trial Design","TV","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Trial Design","TV","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Trial Design","TV","VISITNUM","Visit Number","Num","","Topic","Req"
"4","Trial Design","TV","VISIT","Visit Name","Char","","Synonym Qualifier","Perm"
"5","Trial Design","TV","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"6","Trial Design","TV","ARMCD","Planned Arm Code ","Char","","Record Qualifier","Exp"
"7","Trial Design","TV","ARM","Description of Planned Arm","Char","","Synonym Qualifier","Perm"
"8","Trial Design","TV","TVSTRL","Visit Start Rule","Char","","Rule","Req"
"9","Trial Design","TV","TVENRL","Visit End Rule","Char","","Rule","Perm"
"1","Trial Design","TX","STUDYID","Study Identifier","Char","","",""
"2","Trial Design","TX","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","",""
"3","Trial Design","TX","SETCD","Set Code","Char","","",""
"4","Trial Design","TX","SET","Set Description","Char","","",""
"5","Trial Design","TX","TXSEQ","Sequence Number","Num","","",""
"6","Trial Design","TX","TXPARMCD","Trial Set Parameter Short Name","Char","","",""
"7","Trial Design","TX","TXPARM","Trial Set Parameter","Char","","",""
"8","Trial Design","TX","TXVAL","Trial Set Parameter Value","Char","","",""
"1","Relationship","POOLDEF","STUDYID","Study Identifier","Char","","",""
"2","Relationship","POOLDEF","POOLID","Pool Identifier","Char","","",""
"3","Relationship","POOLDEF","USUBJID","Unique Subject Identifier","Char","","",""
"4","Relationship","POOLDEF","APID","Associated Persons Identifier","Char","","",""
"1","Associated Persons","APRELSUB","STUDYID","Study Identifier","Char","","Identifier",""
"2","Associated Persons","APRELSUB","APID","Associated Persons Identifier","Char","","Identifier",""
"3","Associated Persons","APRELSUB","RSUBJID","Related Subject or Pool Identifier","Char","","Identifier",""
"4","Associated Persons","APRELSUB","RDEVID","Related Device Identifier","Char","","Identifier",""
"5","Associated Persons","APRELSUB","SREL","Subject, Device, or Study Relationship","Char","","Record Qualifier",""
"1","Associated Persons","APDM","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Associated Persons","APDM","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Associated Persons","APDM","APID","Associated Persons Identifier","Char","","Topic","Req"
"4","Associated Persons","APDM","RSUBJID","Related Subject","Char","","Record Qualifier","Exp"
"5","Associated Persons","APDM","RDEVID","Related Device","Char","","Record Qualifier","Perm"
"6","Associated Persons","APDM","SREL","Subject, Device or Study Relationship","Char","","Record Qualifier","Req"
"7","Associated Persons","APDM","DTHDTC","Date/Time of Death","Char","ISO 8601","Record Qualifier","Perm"
"8","Associated Persons","APDM","DTHFL","Associated Persons Death Flag","Char","(NY)","Record Qualifier","Perm"
"9","Associated Persons","APDM","INVNAM","Investigator Name","Char","","Variable Qualifier","Perm"
"10","Associated Persons","APDM","BRTHDTC","Date/Time of Birth","Char","ISO 8601","Record Qualifier","Perm"
"11","Associated Persons","APDM","AGE","Age","Num","","Record Qualifier","Perm"
"12","Associated Persons","APDM","AGEU","Age Units","Char","(AGEU)","Variable Qualifier","Perm"
"13","Associated Persons","APDM","SEX","Sex","Char","(SEX)","Record Qualifier","Perm"
"14","Associated Persons","APDM","RACE","Race","Char","(RACE)","Record Qualifier","Perm"
"15","Associated Persons","APDM","ETHNIC","Ethnicity","Char","(ETHNIC)","Record Qualifier","Perm"
"16","Associated Persons","APDM","COUNTRY","Country","Char","(COUNTRY)","Record Qualifier","Perm"
"17","Associated Persons","APDM","DMDTC","Date/Time of Collection","Char","ISO 8601","Timing","Perm"
"1","Relationship","RELSUB","STUDYID","Study Identifier","Char","","",""
"2","Relationship","RELSUB","USUBJID","Unique Subject Identifier","Char","","",""
"3","Relationship","RELSUB","POOLID","Pool Identifier","Char","","",""
"4","Relationship","RELSUB","RSUBJID","Related Subject or Pool Identifier","Char","","",""
"5","Relationship","RELSUB","SREL","Subject Relationship","Char","","",""
